,Country name,2011 AO,2014 AO,2017 AO,2011 PCI ,2014 PCI,2017 PCI,2011 SUBS,2014 SUBS,2017 SUBS
0,Afghanistan,9.005012512,9.961000443,14.89331245,519,532,488,13797900,18407200,23929700
1,Albania,28.26812553,37.98635483,40.01517105,3667,3775,3673,3100000,3359650,3625700
2,Algeria,33.28611374,50.47578812,42.77662659,3960,4106,3248,35615900,43298200,45845700
3,Arab World,22.2605381,30.27713013,37.16521072,5389,6041,5153,351957917,415029269,416484296
4,Argentina,33.13021851,50.19729614,48.70848846,10957,10434,12344,60722700,61234200,61897400
5,Australia,99.06484222,98.85956573,99.51937103,47826,48104,41849,23789000,25060000,27463000
6,Austria,97.08174133,96.73406219,98.16366577,42579,42430,38587,13022600,12952600,10859000
7,Azerbaijan,14.90084934,29.15149307,28.57120323,4642,5988,3169,10120100,10552500,10127000
8,Bahrain,64.51457214,81.93934631,82.61284637,16791,20610,20220,1693650,2328990,2364480
9,Bangladesh,31.74364853,30.99081802,50.04691315,844,1085,1487,84368700,126866000,150945000
10,Belarus,58.60198212,71.98498535,81.15588379,5403,6822,4686,10694900,11401900,11415100
11,Belgium,96.30612946,98.12575531,98.63832092,38242,39501,36529,12495900,12734700,11961100
12,Benin,10.46393776,16.62083435,38.48922348,950,1082,923,7765210,8660430,8773040
13,Bolivia,28.02913284,41.7967186,54.40505600000001,1783,2312,2617,8353270,10450300,10963200
14,Bosnia and Herzegovina,56.21160889,52.68502808,58.84349823,4430,4527,4574,3171280,3491190,3440090
15,Botswana,30.26001358,51.96456909,51.03245544,5860,5859,5717,2900260,3410510,3240590
16,Brazil,55.86038208,68.12315369,70.04394531,10987,10194,8418,234358000,280729000,218255000
17,Bulgaria,52.82490158,62.98682785,72.2040329,6340,6583,6913,10475100,9486930,8532910
18,Cambodia,3.659711838,22.16526604,21.67178345,739,903,1100,13757000,20452000,18573000
19,Cameroon,14.80961323,12.17773438,34.59078979,1117,1245,1143,10486600,17039100,20135400
20,Canada,95.80464172,99.10332489,99.72688293,42477,41435,36908,26840000,28789000,31693000
21,Chad,8.959745407,12.43334484,21.75919342,730,773,495,3665660,5251560,6368600
22,Chile,42.17928696,63.25888062,74.34924316,10596,11188,11366,22315200,23680700,23013100
23,China,63.81731033,78.85260009999999,80.22911835,4002,5717,6649,986253000,1286090000,1469880000
24,Colombia,30.42780113,38.99901962,45.75922775,5569,6331,5045,46200400,55330300,62220000
25,"Congo, Dem. Rep.",3.696726322,17.47698402,25.82567596,272,306,352,15644900,37103000,35375200
26,"Congo, Rep.",10.048056599999999,17.06959724,26.09275055,352,1053,760,3884760,4930100,5056000
27,Costa Rica,50.35873032,64.55306244,67.83835602,8185,9404,10564,4153070,7020410,8840340
28,Croatia,88.39102173,86.02509308,86.14345551,11665,11204,11285,5115140,4461350,4315580
29,Cyprus,85.23764801,90.15019989,88.71575928,29342,22744,22235,1090940,1110800,1176800
30,Czech Republic,80.65119171,82.1782074,80.99226379,15359,14104,14972,13167700,13913100,12636400
31,Denmark,99.73679352,100.0,99.91737366,51290,53743,48742,7173190,7160230,7132930
32,Dominican Republic,38.20466995,54.09098816,56.23919296,5409,5929,6804,8770780,8303540,8769130
33,Ecuador,36.73550034,46.21242523,51.24601746,3885,4870,4777,15332700,16605700,14651400
34,"Egypt, Arab Rep.",9.71998024,14.12679672,32.78435898,2343,2911,2166,83425100,95316000,102958000
35,El Salvador,13.76461506,36.71971129999999,30.35294724,2814,3007,3197,8316150,9193340,9478040
36,Estonia,96.82427979,97.67166901,97.99397278,13914,16523,16736,1806080,1897550,1904430
37,Finland,99.65125275,100.0,99.78541565,41709,41063,37754,8940000,7602600,7310000
38,France,96.98388672,96.58275604,94.00404358,37138,36186,32708,59816000,65425000,69018000
39,Gabon,18.94651794,33.01418304,58.60199738,5196,6226,4984,2370230,2932730,2663240
40,Georgia,32.98096848,39.66506958,61.23044586,3406,4168,3666,4430340,5400770,5502400
41,Germany,98.13362122,98.76040649,99.14118958,39511,40301,37541,90900000,99530000,109736000
42,Ghana,29.4253521,40.50579453,57.71752548,994,1288,1335,21165800,30360800,36751800
43,Greece,77.93985748,87.51864624,85.46652222,20536,17990,15861,12128000,12144600,12937100
44,Guatemala,22.3188839,41.34921646,44.10700989,2699,3113,3721,19479100,16911800,19986500
45,Guinea,3.687849998,6.960017204,23.48603439,484,585,639,4860590,8683500,11700000
46,Haiti,22.00726891,18.85867691,32.6211853,704,779,710,4200000,6769310,6305860
47,Honduras,20.51226425,31.48635864,45.3429718,1824,1865,2136,8062230,7725090,8233500
48,Hungary,72.67432404,72.25682831,74.94496918,10872,11177,11504,11689900,11726500,9945040
49,India,35.23183823,53.14155197,79.87532806,1256,1365,1731,893862000,944009000,1168900000
50,Indonesia,19.581991199999997,36.05899048,48.85745239,2682,2625,3008,249806000,325583000,435194000
51,"Iran, Islamic Rep.",73.68385315,92.28025055,93.98191833,6245,4292,4352,56043000,68891200,87047000
52,Iraq,10.55374527,10.97234917,22.6651516,4712,5254,4047,25519000,33000000,33415700
53,Ireland,93.88835144,94.71014404,95.3404541,34795,38596,38452,4906350,4912620,4898870
54,Israel,90.46863556,89.95277405,92.81496429,28661,32443,34855,9200000,9500000,10540000
55,Italy,71.00852966,87.33457947,93.78501892,31632,29022,26892,96040900,89914600,83871500
56,Japan,96.42204285,96.64558411,98.24339294,38101,30689,31208,132761000,157857000,172790000
57,Jordan,25.47109795,24.61591148,42.49302292,3460,3725,3798,7482560,11092400,9703290
58,Kazakhstan,42.10509491,53.90741729999999,58.69753265,7106,8826,6544,25240800,28595600,26693300
59,Kenya,42.34345627,74.65783691,81.56756592,821,1082,1277,28080800,33632600,42815100
60,"Korea, Rep.",93.04686737,94.36081696,94.85101318,20497,23656,25684,52506800,57290400,63658700
61,Kuwait,86.77324677,72.90818024,79.84015656,41128,38971,29362,4934160,7600000,7138830
62,Kyrgyz Republic,3.757264376,18.47060204,39.94200134,805,948,935,6277110,7563440,7369930
63,Latvia,89.65882874,90.21825409,93.22247314,10444,11887,12038,2309000,2384000,2464120
64,Lebanon,37.02732468,46.92713547,44.75142288,6282,6222,6268,3456650,4387280,4399090
65,Lithuania,73.75519562,77.90628815,82.88385009999999,12010,14162,14112,4938000,4267590,4361330
66,Luxembourg,94.58679199,96.16869354,98.76785278,66255,65254,56294,764973,802400,794000
67,Madagascar,5.523222923,8.551339149,17.86787033,453,441,436,8680770,9713880,8730500
68,Malawi,16.54061127,18.09241867,33.71393204,425,279,268,3951570,5632510,7772500
69,Malaysia,66.17381287,80.67462158,85.34375,7881,8431,7628,36661300,44928600,42338500
70,Mali,8.213852882000001,20.07604027,35.41667938,661,691,664,10821900,23505600,22034100
71,Mauritania,17.46181488,22.86588287,20.872507100000004,1424,1249,1260,3314770,3753330,4074160
72,Mauritius,80.12320709,82.20826721,89.8425293,7493,9079,9681,1294100,1652000,1839500
73,Mexico,27.42938423,39.14084625,36.9319191,7876,8544,7251,94583300,104948000,114329000
74,Moldova,18.06632042,17.75574684,43.78565216,2930,3303,3279,3217260,3738130,3662970
75,Mongolia,77.71708679,91.82178497,92.97116852,2529,2974,2132,2942310,3027240,3886170
76,Montenegro,50.43801498,59.82601166,68.36179352,6565,6480,6884,1159110,1013300,1044670
77,Nepal,25.30855751,33.80134964,45.38557434,642,691,816,13354500,23021300,36096400
78,Netherlands,98.65853119,99.29560089,99.63761902,45259,43355,40898,19829300,19562000,20532000
79,New Zealand,99.43672943,99.52553558,99.17844391,30788,36233,34385,4820000,5100000,6400000
80,Nicaragua,14.21833229,19.43848419,30.86199188,1403,1633,1837,4823530,7067860,8179880
81,Niger,1.5216987130000001,6.7065877910000005,15.52324486,453,477,439,4742880,8236400,8778880
82,Nigeria,29.66753769,44.44198608,39.66685867,1900,2646,1585,95167300,138960000,144920000
83,North America,88.76815033,94.15715027,93.8115387,42631,47097,49866,324332200,384348491,431963997
84,North Macedonia,73.69894409,71.79850006,76.56877136,3922,4271,4205,2213220,2224440,2008010
85,Pakistan,10.30629635,13.03619194,21.29324532,1126,1235,1456,108895000,135762000,144526000
86,Panama,24.9264946,43.66213989,46.49425888,8352,10967,13189,6735430,6906090,5280200
87,Peru,20.45868492,28.97523308,42.60317993,4671,5571,5389,32461400,31880000,38915400
88,Philippines,26.55592537,31.28583527,34.49840927,2374,2944,3157,94189800,111326000,115825000
89,Poland,70.19429016,77.86217499,86.73330688,11860,12169,11642,50160200,56905300,50458900
90,Portugal,81.22942352,87.38635254,92.34098816,18707,17752,17264,12334600,11895600,11764100
91,Romania,44.59162521,60.83715439,57.75180435,7149,8056,8556,23420000,22920000,22400000
92,Russian Federation,48.17848969,67.38309479,75.75888824,11267,11060,8553,203752000,221030000,227300000
93,Rwanda,32.76382065,42.11691284,50.01979446,545,590,595,4446190,7747020,8819220
94,Saudi Arabia,46.42066193,69.40958405,71.69812012,18570,19451,17074,54000000,52735000,40211000
95,Senegal,5.821141243,15.42457199,42.34401703,1198,1211,1148,9352870,14379700,15758400
96,Serbia,62.21622086,83.09233856,71.44104767,5564,5297,4863,10182000,9344980,8621770
97,Sierra Leone,15.34175587,15.58001041,19.80875969,375,572,401,2137000,4756800,6625000
98,Singapore,98.22189331,96.35260009999999,97.9311676,45068,47718,47737,7794300,8103800,8381900
99,Slovak Republic,79.58301544,77.24139404,84.18158722,14071,14602,13737,5983060,6378100,7117750
100,Slovenia,97.1437149,97.24451447,97.53340149,19719,18976,18545,2168550,2326390,2443170
101,South Africa,53.64507294,70.31745148,69.2184906,6382,5168,4957,64000000,79280700,88497600
102,South Asia,32.38194275,46.54095459,69.55911255,1204,1326,1663,1133612138,1271478854,1554226943
104,Spain,93.27760315,97.57530975,93.75570679,26176,24651,23805,52590500,50806300,52506900
105,Sri Lanka,68.52616882,82.69138336,73.64646149,2960,3451,3670,18319400,22123000,28199100
106,Sweden,98.99195099,99.71991729999999,99.74221039,51553,50801,45490,11454300,12312500,12519300
107,Tajikistan,2.534857273,11.45923328,47.02439499,896,1186,870,6324000,7999100,9904000
108,Tanzania,17.25776863,39.77947617,46.75156403,678,874,818,25666500,31862700,39953900
109,Thailand,72.66643524,78.1365509,81.59400177,4363,4492,5084,77449000,97096000,121530000
110,Togo,10.18523979,18.25146294,45.28935242,448,461,456,2695340,4516110,6069910
111,Turkey,57.60142899,56.6774826,68.59030914,9573,10203,8711,65321700,71888400,77800200
112,Uganda,20.46142006,44.447155,59.19915009,635,621,496,16697000,20365900,24948900
113,Ukraine,41.26857376,52.71481323,62.90233231,2909,2632,2236,55576500,61170200,55714700
114,United Kingdom,97.20128632,98.93105316,96.36631775,35731,39477,33877,77162300,78460700,79152800
115,United States,87.95786285,93.58380127,93.12218475,42636,47715,51309,297404000,355500000,400206000
116,Uruguay,23.54260063,45.58572769,63.86800385,12882,14394,14467,4757430,5497090,5097570
117,Uzbekistan,22.50391769,40.71001434,37.08973694,1581,2205,1643,25441800,21639200,24265500
118,Vietnam,21.36949348,30.950944899999996,30.79579163,1254,1693,1937,127318000,136148000,120016000
119,Zambia,21.36491013,35.64487076,45.86325836,1140,1321,1104,8164550,10114900,13438500
120,Zimbabwe,39.65121078,32.38925171,55.28513718,793,1134,1233,9200000,11798700,14092100
