Country name,2011,2014,2017
Afghanistan,30117.411,33370.804,36296.111
Africa,1066409.712,1152433.618,1244222.269
African Group,1064864.504,1150822.279,1242534.551
African Union,1065352.158,1151337.263,1243087.168
African Union: Central Africa,120650.427,132360.098,145049.236
African Union: Eastern Africa,308179.643,334617.162,362844.612
African Union: Northern Africa,175048.159,185411.826,196262.381
African Union: Southern Africa,149539.485,160548.717,172059.966
African Union: Western Africa,311934.444,338399.46,366870.973
"African, Caribbean and Pacific (ACP) Group of States",933091.503,1009959.906,1092466.466
Albania,2928.601,2896.307,2884.169
Algeria,36661.438,38923.688,41389.174
American Samoa,55.755,55.791,55.617
Andean Community,100383.897,103716.427,108332.352
Andorra,83.748,79.213,76.997
Angola,24220.66,26941.773,29816.769
Anguilla,13.612,14.114,14.588
Antigua and Barbuda,89.25,92.562,95.425
Argentina,41320.497,42637.508,43937.143
Armenia,2876.536,2912.403,2944.789
Aruba,102.05,103.776,105.361
Asia,4255189.624,4389699.496,4519040.016
Asia-Pacific Economic Cooperation (APEC),2802890.671,2863770.723,2921237.005
Asia-Pacific Group,4237163.054,4371233.608,4500107.911
Association of Southeast Asian Nations (ASEAN),603263.686,625790.908,647216.493
Australia,22538.002,23596.426,24584.619
Australia/New Zealand,26956.676,28163.948,29286.648
Austria,8453.501,8615.205,8819.902
Azerbaijan,9146.277,9505.616,9845.316
Bahamas,359.583,370.625,381.749
Bahrain,1278.153,1336.073,1494.077
Bangladesh,149273.134,154517.385,159685.421
Barbados,282.987,284.825,286.229
Belarus,9415.316,9431.742,9450.233
Belgium,11013.86,11221.225,11419.752
Belize,330.236,353.366,375.775
Belt-Road Initiative (BRI),2955395.86,3103527.863,3253866.729
Belt-Road Initiative: Africa,950706.618,1026918.433,1107974.28
Belt-Road Initiative: Asia,1383615.288,1448829.219,1512420.226
Belt-Road Initiative: Europe,416189.127,416221.417,415587.523
Belt-Road Initiative: Latin America and the Caribbean,191473.555,197494.225,203153.736
Belt-Road Initiative: Pacific,13411.272,14064.569,14730.964
Benin,9460.829,10286.839,11175.192
Bermuda,65.076,64.038,63.04
Bhutan,693.297,719.053,745.563
Black Sea Economic Cooperation (BSEC),333385.929,337309.992,341032.424
Bolivarian Alliance for the Americas (ALBA),56840.773,58809.637,58940.007
Bolivia (Plurinational State of),10212.951,10706.517,11192.853
"Bonaire, Sint Eustatius and Saba",21.998,24.067,25.399
Bosnia and Herzegovina,3661.173,3482.106,3351.534
Botswana,2015.406,2088.619,2205.076
Brazil,197514.541,202763.744,207833.825
BRIC,2968003.14,3042483.315,3113062.489
BRICS,3020006.899,3097027.499,3170072.24
British Virgin Islands,28.326,28.985,29.567
Brunei Darussalam,393.687,409.778,424.481
Bulgaria,7378.652,7245.648,7102.452
Burkina Faso,16081.915,17586.029,19193.236
Burundi,8958.406,9844.301,10827.01
CÃ´te d'Ivoire,21028.652,22647.672,24437.475
Cabo Verde,498.858,518.276,537.499
Cambodia,14541.421,15274.506,16009.413
Cameroon,20906.392,22681.853,24566.07
Canada,34539.156,35664.338,36732.091
Caribbean,41514.617,42380.802,43002.43
Caribbean Community and Common Market (CARICOM),17127.6,17727.402,18302.312
Cayman Islands,57.877,60.848,63.382
Central African Republic,4418.639,4464.171,4596.023
Central America,159908.333,166721.879,173326.782
Central and Southern Asia,1800024.302,1872400.989,1944108.541
Central Asia,63857.185,67292.686,70867.461
Central European Free Trade Agreement (CEFTA),26643.555,26310.052,26017.419
Chad,12360.986,13663.562,15016.761
Channel Islands,160.99,164.107,168.666
Chile,17233.584,17758.969,18470.435
China,1376497.633,1399453.966,1421021.794
China (and dependencies),1407323.824,1430670.82,1452625.233
"China, Hong Kong SAR",7006.598,7134.668,7306.315
"China, Macao SAR",550.833,590.21,622.578
"China, Taiwan Province of China",23268.76,23491.976,23674.546
Colombia,45662.747,46967.706,48909.844
Commonwealth of Independent States (CIS),278697.358,282992.221,287185.285
Commonwealth of Nations,2244591.729,2350935.752,2458072.035
Commonwealth: Africa,463899.918,501380.038,541659.66
Commonwealth: Asia,1637608.026,1702013.689,1764633.616
Commonwealth: Caribbean and Americas,41026.346,42284.503,43476.546
Commonwealth: Europe,65564.479,67005.535,68345.083
Commonwealth: Pacific,36492.96,38251.987,39957.13
Comoros,706.578,759.39,813.89
Congo,4394.842,4736.965,5110.701
Cook Islands,18.2,17.685,17.505
Costa Rica,4633.086,4795.39,4949.955
Countries with Access to the Sea,6549203.12,6770987.196,6988755.955
Countries with Access to the Sea: Africa,801248.807,863553.713,929834.358
Countries with Access to the Sea: Asia,4112339.777,4239413.078,4360641.275
Countries with Access to the Sea: Europe,670417.281,673987.081,677158.375
Countries with Access to the Sea: Latin America and the Caribbean,581447.769,600290.44,618173.221
Countries with Access to the Sea: Northern America,346251.161,354464.254,361942.247
Countries with Access to the Sea: Oceania,37498.325,39278.63,41006.479
Croatia,4313.098,4255.518,4182.847
Cuba,11236.671,11306.909,11339.255
CuraÃ§ao,152.309,158.432,161.986
Cyprus,1124.837,1152.297,1179.685
Czechia,10566.512,10591.104,10641.032
Dem. People's Republic of Korea,24673.392,25057.793,25429.816
Democratic Republic of the Congo,66755.151,73767.445,81398.765
Denmark,5582.98,5664.199,5732.277
Denmark (and dependencies),5687.35,5768.547,5837.076
Djibouti,853.671,898.707,944.1
Dominica,70.912,71.091,71.46
Dominican Republic,9813.219,10165.182,10513.111
East African Community (EAC),151410.996,165054.968,179766.823
Eastern Africa,348907.786,379136.669,411396.724
Eastern and South-Eastern Asia,2217429.532,2264410.499,2308227.726
Eastern Asia,1613052.692,1637445.258,1659767.973
Eastern Europe,294690.687,294479.08,294056.07
Eastern European Group,341914.887,341545.533,341004.93
ECE: North America-2,346123.207,354337.76,361816.849
ECE: UNECE-52,1245474.233,1265621.066,1284915.892
ECLAC: Latin America,585771.606,605309.195,624065.678
ECLAC: The Caribbean,12220.232,12284.499,12164.38
Economic Community of Central African States (ECCAS),155164.42,170385.5,186846.965
Economic Community of West African States (ECOWAS),311934.444,338399.46,366870.973
Economic Cooperation Organization (ECO),434539.254,460169.149,486705.437
Ecuador,15243.885,15951.832,16785.356
Egypt,84529.251,90424.668,96442.59
El Salvador,6210.567,6295.124,6388.124
Equatorial Guinea,986.861,1122.273,1262.008
Eritrea,3213.969,3311.444,3412.894
ESCAP region: East and North-East Asia,1589783.932,1613953.282,1636093.427
ESCAP region: North and Central Asia,223664.037,228410.852,233196.38
ESCAP region: Pacific,37484.724,39265.075,40993.288
ESCAP region: South and South-West Asia,1809610.371,1882337.565,1954357.531
ESCAP region: South-East Asia,604376.84,626965.241,648459.753
ESCAP: ADB Developing member countries (DMCs),3729212.875,3845100.437,3957571.603
ESCAP: ADB Group A (Concessional assistanceÂ only),144688.061,151162.777,158110.214
ESCAP: ADB Group BÂ (OCR blend),1623251.702,1687928.361,1751041.079
ESCAP: ADB Group C (Regular OCR only),1961273.112,2006009.299,2048420.31
ESCAP: ASEAN,603263.686,625790.908,647216.493
ESCAP: Central Asia,79961.01,83746.015,87666.289
ESCAP: ECO,434539.254,460169.149,486705.437
ESCAP: HDI groups,4264919.904,4390932.015,4513100.379
ESCAP: high HDI,218670.256,220817.074,222168.034
ESCAP: high income,218873.309,221029.505,222388.64
ESCAP: income groups,4264919.904,4390932.015,4513100.379
ESCAP: Landlocked countries (LLDCs),142849.847,150286.418,158398.741
ESCAP: Least Developed Countries (LDCs),281017.354,291853.969,302995.049
ESCAP: low HDI,1729907.986,1799055.781,1866996.442
ESCAP: low income,1877739.512,1951881.508,2024950.788
ESCAP: lower middle HDI,1945442.619,1989840.189,2032079.026
ESCAP: lower middle income,528715.94,548638.683,567975.758
ESCAP: other Asia-Pacific countries/areas,170346.235,181558.651,191296.522
ESCAP: Pacific island dev. econ.,10528.048,11101.127,11706.64
ESCAP: SAARC,1661532.158,1727642.534,1792567.192
ESCAP: upper middle HDI,370899.043,381218.971,391856.877
ESCAP: upper middle income,1639591.143,1669382.319,1697785.193
ESCAP: WB High income econ.,219205.093,221366.808,222731.878
ESCAP: WB income groups,4264900.086,4390912.723,4513081.262
ESCAP: WB Low income econ.,81832.023,85334.579,89358.609
ESCAP: WB Lower middle income econ.,2163138.125,2249339.242,2333125.648
ESCAP: WB Upper middle income econ.,1800724.845,1834872.094,1867865.127
ESCWA: Arab countries,363423.514,388155.071,412235.253
ESCWA: Arab least developed countries,76692.462,82813.707,89277.946
ESCWA: Gulf Cooperation Council countries,46947.54,51644.254,55529.221
ESCWA: Maghreb countries,86432.608,90541.28,94984.592
ESCWA: Mashreq countries,153350.904,163155.83,172443.494
ESCWA: member countries,312825.522,334149.715,354498.924
Estonia,1327.701,1316.273,1319.389
Eswatini,1072.029,1095.022,1124.808
Ethiopia,90139.928,98094.264,106399.926
Eurasian Economic Community (Eurasec),211801.452,215922.941,220090.118
Europe,1475701.29,1483636.56,1490829.514
Europe (48),737850.645,741818.28,745414.757
Europe and Northern America,1084101.806,1096282.534,1107357.004
European Community (EC: 12),374617.012,378333.506,381926.047
European Free Trade Agreement (EFTA),13215.093,13714.083,14124.321
European Union (EU: 15),397927.254,402102.258,406162.216
European Union (EU: 28),504212.223,507514.306,510683.334
Falkland Islands (Malvinas),2.863,2.787,3.074
Faroe Islands,47.815,47.965,48.326
Fiji,863.451,866.447,877.46
Finland,5390.036,5461.41,5511.372
France,63222.229,64193.55,64842.513
France (and dependencies),65900.759,66924.889,67639.823
French Guiana,238.383,254.78,275.189
French Polynesia,267.702,271.713,276.108
Gabon,1684.629,1883.801,2064.812
Gambia,1848.142,2024.037,2213.9
Georgia,4081.012,4035.31,4008.723
Germany,80855.629,81450.37,82658.409
Ghana,25387.713,27224.48,29121.464
Gibraltar,33.608,33.726,33.723
Greater Arab Free Trade Area (GAFTA),345888.314,369142.509,391605.516
Greece,10829.074,10701.46,10569.449
Greenland,56.555,56.383,56.473
Grenada,106.786,108.9,110.874
Group of 77 (G77),5452243.513,5680117.049,5908587.128
Group of Eight (G8),886014.05,898647.817,909751.747
Group of Seven (G7),742311.023,753982.98,764221.656
Group of Twenty (G20) - member states,4338484.875,4451481.395,4557557.995
Guadeloupe,405.643,401.305,399.679
Guam,159.69,161.007,164.281
Guatemala,14948.792,15923.238,16914.979
Guinea,10420.459,11150.97,12067.516
Guinea-Bissau,1562.996,1692.433,1828.146
Gulf Cooperation Council (GCC),46947.54,51644.254,55529.221
Guyana,752.029,763.371,775.218
Haiti,10100.32,10549.007,10982.367
High-income countries,1205302.581,1227222.986,1246648.46
Holy See,0.786,0.785,0.798
Honduras,8480.67,8955.579,9429.016
Hungary,9895.689,9804.991,9729.822
Iceland,323.471,328.592,334.395
India,1250287.939,1295600.768,1338676.779
Indonesia,245115.988,255128.076,264650.969
Iran (Islamic Republic of),74634.959,77465.769,80673.888
Iraq,30725.305,34411.949,37552.789
Ireland,4591.115,4626.852,4753.281
Isle of Man,84.889,83.488,83.61
Israel,7487.095,7854.216,8243.849
Italy,59589.07,60409.622,60673.694
Jamaica,2825.932,2875.137,2920.848
Japan,128498.966,128168.63,127502.728
Jordan,7662.858,8918.822,9785.84
Kazakhstan,16490.669,17302.619,18080.023
Kenya,43178.27,46700.063,50221.146
Kiribati,104.735,109.387,114.153
Kuwait,3168.054,3690.939,4056.102
Kyrgyzstan,5517.927,5844.521,6189.727
Land-locked Countries,491991.834,524304.348,559103.743
Land-locked Countries (Others),61282.499,61680.797,62115.497
Land-locked Developing Countries (LLDC),430709.335,462623.551,496988.246
Lao People's Democratic Republic,6347.564,6639.763,6953.031
Latin America and the Caribbean,1195989.402,1235192.962,1272466.264
Latin American and Caribbean Group (GRULAC),592793.973,612482.638,631380.634
Latin American Integration Association (ALADI),525681.917,542482.941,558503.283
Latvia,2093.606,2021.22,1951.097
"League of Arab States (LAS, informal name: Arab League)",363423.514,388155.071,412235.253
Least developed countries,856471.437,919222.955,986385.402
Least developed: Africa,541546.177,590996.491,644573.175
Least developed: Asia,303925.399,316706.13,329782.813
Least developed: Latin America and the Caribbean,10100.32,10549.007,10982.367
Least developed: Oceania,899.541,971.327,1047.047
Lebanon,5202.022,6261.046,6819.373
Lesotho,2003.793,2043.448,2091.532
Less developed regions,5801636.72,6042675.647,6283712.52
"Less developed regions, excluding China",4394312.896,4612004.827,4831087.287
"Less developed regions, excluding least developed countries",4945165.283,5123452.692,5297327.118
Less developed: Africa,1066409.712,1152433.618,1244222.269
Less developed: Asia,4126690.658,4261530.866,4391537.288
Less developed: Latin America and the Caribbean,597994.701,617596.481,636233.132
Less developed: Oceania,10541.649,11114.682,11719.831
Liberia,4017.446,4359.508,4702.224
Libya,6247.438,6362.039,6580.723
Liechtenstein,36.299,37.219,37.805
Lithuania,3083.402,2971.498,2845.419
LLDC: Africa,265160.905,288879.905,314387.911
LLDC: Asia,142849.847,150286.418,158398.741
LLDC: Europe,6151.651,6151.187,6141.683
LLDC: Latin America,16546.932,17306.041,18059.911
Lower-middle-income countries,2728568.946,2852707.085,2976160.186
Low-income countries,618725.584,665865.815,717952.425
Luxembourg,519.312,554.512,591.914
Madagascar,21743.97,23589.897,25570.511
Malawi,14962.118,16289.55,17670.193
Malaysia,28650.962,29866.606,31104.655
Maldives,380.493,435.018,496.398
Mali,15514.593,16934.213,18512.429
Malta,417.72,430.19,437.935
Marshall Islands,56.524,57.183,58.053
Martinique,391.886,381.142,375.946
Mauritania,3598.646,3930.894,4282.582
Mauritius,1251.074,1257.351,1264.497
Mayotte,214.937,233.658,252.962
Melanesia,9376.893,9931.879,10514.186
Mexico,115695.468,120355.137,124777.326
Micronesia,506.227,518.236,532.887
Micronesia (Fed. States of),103.448,107.444,111.461
Middle Africa,135912.681,149457.57,164038.995
Middle-income countries,5214491.629,5399458.147,5580422.654
Monaco,36.025,37.32,38.392
Mongolia,2770.357,2940.111,3113.788
Montenegro,625.271,626.65,627.563
Montserrat,4.913,4.952,4.989
More developed regions,1239557.448,1252615.112,1264146.38
More developed: Asia,128498.966,128168.63,127502.728
More developed: Europe,737850.645,741818.28,745414.757
More developed: Northern America,346251.161,354464.254,361942.247
More developed: Oceania,26956.676,28163.948,29286.648
Morocco,32781.86,34192.358,35581.257
Mozambique,24187.5,26286.192,28649.007
Myanmar,50990.612,52280.816,53382.521
Namibia,2156.698,2273.426,2402.623
Nauru,10.069,10.289,10.577
Nepal,27041.22,26905.982,27632.682
Netherlands,16738.191,16892.517,17021.343
Netherlands (and dependencies),17049.598,17217.664,17355.533
New Caledonia,257.066,267.732,277.159
New EU member states (joined since 2004),106284.969,105412.048,104521.118
New Zealand,4418.674,4567.522,4702.029
New Zealand (and dependencies),4439.63,4588.031,4722.443
Nicaragua,5903.035,6142.734,6384.843
Niger,17114.77,19240.182,21602.388
Nigeria,162805.08,176404.931,190873.247
Niue,1.618,1.607,1.612
No income group available,2674.374,2743.811,2835.361
Non-Self-Governing Territories,1579.726,1628.109,1687.311
North American Free Trade Agreement (NAFTA),461818.675,474692.897,486594.175
North Atlantic Treaty Organization (NATO),903160.448,918097.055,932152.015
North Macedonia,2072.484,2077.78,2081.996
Northern Africa,206799.189,219458.589,232793.197
Northern Africa and Western Asia,444534.979,472346.597,499496.946
Northern America,692502.322,708928.508,723884.494
Northern Europe,101122.967,102943.058,104676.514
Northern Mariana Islands,54.013,55.301,56.553
Norway,4948.335,5142.269,5296.324
Oceania,37498.325,39278.63,41006.479
Oceania (excluding Australia and New Zealand),10541.649,11114.682,11719.831
Oman,3251.102,4027.255,4665.926
Organisation for Economic Co-operation and Development (OECD),1249044.395,1272547.415,1294523.659
Organization for Security and Co-operation in Europe (OSCE),1240946.008,1260894.439,1279973.494
Organization of American States (OAS),938917.18,966820.398,993197.483
Organization of Petroleum Exporting countries (OPEC),426875.393,458069.717,488156.438
Organization of the Islamic Conference (OIC),1600639.545,1700618.173,1803505.526
Pakistan,183340.168,195305.012,207906.21
Palau,17.748,17.625,17.809
Panama,3706.479,3901.311,4106.764
Papua New Guinea,7472.196,7946.733,8438.038
Paraguay,6333.981,6599.524,6867.058
Peru,29264.314,30090.372,31444.299
Philippines,95570.049,100513.137,105172.921
Poland,38286.824,38091.095,37953.176
Polynesia,658.529,664.567,672.758
Portugal,10569.388,10418.224,10288.527
Puerto Rico,3559.862,3453.667,3163.676
Qatar,2035.862,2459.202,2724.727
RÃ©union,837.336,856.96,876.131
Republic of Korea,49786.153,50607.904,51096.408
Republic of Moldova,4079.167,4073.407,4059.687
Romania,20336.718,20035.928,19653.966
Russian Federation,143703.027,144664.837,145530.091
Rwanda,10293.333,11083.629,11980.96
Saint BarthÃ©lemy,9.34,9.62,9.788
Saint Helena,5.281,5.737,6.008
Saint Kitts and Nevis,49.442,50.776,52.036
Saint Lucia,175.538,178.307,180.955
Saint Martin (French part),37.451,36.018,36.569
Saint Pierre and Miquelon,6.323,6.073,5.885
Saint Vincent and the Grenadines,108.315,108.868,109.826
Samoa,187.469,192.22,195.358
San Marino,31.655,32.941,33.671
Sao Tome and Principe,184.521,195.727,207.086
Saudi Arabia,28267.591,30916.603,33101.183
Senegal,13033.814,14174.74,15419.354
Serbia,8963.761,8898.284,8829.623
Seychelles,91.882,94.214,96.418
Shanghai Cooperation Organization (SCO),3012511.876,3096850.945,3178244.668
"SIDS Atlantic, and Indian Ocean, Mediterranean and South China Sea (AIMS)",14013.867,14722.496,15473.847
SIDS Caribbean,41492.619,42356.735,42977.031
SIDS Pacific,10528.048,11101.127,11706.64
Sierra Leone,6563.238,7017.153,7488.427
Singapore,5263.64,5525.628,5708.042
Sint Maarten (Dutch part),35.05,38.872,41.444
Slovakia,5408.932,5428.798,5447.903
Slovenia,2051.278,2067.488,2076.395
Small Island Developing States (SIDS),66034.534,68180.358,70157.518
Solomon Islands,541.522,587.079,636.03
Somalia,12376.305,13423.571,14589.165
South Africa,52003.759,54544.184,57009.751
South America,396571.751,408493.8,419903.92
South Asian Association for Regional Cooperation (SAARC),1661532.158,1727642.534,1792567.192
South Sudan,9830.695,10554.882,10910.774
South-Eastern Asia,604376.84,626965.241,648459.753
Southern Africa,59251.685,62044.699,64833.79
Southern African Development Community (SADC),285761.66,309977.577,335864.392
Southern Asia,1736167.117,1805108.303,1873241.08
Southern Common Market (MERCOSUR),287638.769,296150.705,302670.004
Southern Europe,153254.957,153188.221,152796.346
Spain,47084.242,46777.927,46647.425
Sri Lanka,20398.496,20788.512,21128.028
State of Palestine,4149.654,4428.634,4747.233
Sub-Saharan Africa,859610.523,932975.029,1011429.072
Sudan,35349.676,37977.657,40813.398
Suriname,535.177,553.278,570.501
Sweden,9466.705,9692.137,9904.895
Switzerland,7906.988,8206.003,8455.797
Syrian Arab Republic,21081.814,18710.711,17095.669
Tajikistan,7697.507,8252.828,8880.27
Thailand,67518.379,68438.748,69209.817
Timor-Leste,1113.154,1174.333,1243.26
Togo,6595.939,7137.997,7698.476
Tokelau,1.138,1.217,1.297
Tonga,103.558,101.023,102.002
Trinidad and Tobago,1336.18,1362.337,1384.06
Tunisia,10741.872,11063.195,11433.438
Turkey,73443.254,77229.262,81116.451
Turkmenistan,5174.076,5466.324,5757.667
Turks and Caicos Islands,33.371,35.371,37.116
Tuvalu,10.626,10.973,11.365
Uganda,33476.772,36911.53,41166.588
Ukraine,45619.85,45111.53,44487.708
UN-ECE: member countries,1245661.96,1265807.759,1285102.757
UNFPA Regions,5732647.108,5967129.237,6202781.498
UNFPA: Arab States (AS),315421.852,335847.788,356275.486
UNFPA: Asia and the Pacific (AP),3748562.972,3863880.808,3976011.927
UNFPA: East and Southern Africa (ESA),484761.151,526383.476,570687.272
UNFPA: Eastern Europe and Central Asia (EECA),230144.616,236946.433,243927.69
UNFPA: Latin America and the Caribbean (LAC),593286.557,612992.026,631902.107
UNFPA: West and Central Africa (WCA),360469.96,391078.706,423977.016
UNICEF PROGRAMME REGIONS,5806974.266,6044856.038,6283130.162
UNICEF Programme Regions: East Asia and Pacific (EAPRO),2012395.855,2058772.505,2102770.847
UNICEF Programme Regions: Eastern and Southern Africa (ESARO),429131.231,464782.251,502613.175
UNICEF Programme Regions: Eastern Caribbean,2299.632,2341.088,2377.125
UNICEF Programme Regions: Europe and Central Asia (CEECIS),262798.355,269110.177,275494.518
UNICEF Programme Regions: Latin America,590214.98,609854.347,628708.02
UNICEF Programme Regions: Latin America and Caribbean (LACRO),592514.612,612195.435,631085.145
UNICEF Programme Regions: Middle East and North Africa (MENARO),421376.944,447506.985,473223.504
UNICEF Programme Regions: South Asia (ROSA),1661532.158,1727642.534,1792567.192
UNICEF Programme Regions: West and Central Africa (WCARO),427225.111,464846.151,505375.781
UNICEF REGIONS,7041194.168,7295290.759,7547858.9
UNICEF Regions: East Asia and Pacific,2254927.857,2303689.129,2349234.205
UNICEF Regions: Eastern and Southern Africa,467729.807,506100.798,546860.681
UNICEF Regions: Eastern Europe and Central Asia,406501.382,413775.014,421024.609
UNICEF Regions: Europe and Central Asia,892379.746,903945.854,915377.182
UNICEF Regions: Latin America and Caribbean,597994.701,617596.481,636233.132
UNICEF Regions: Middle East and North Africa,393148.346,416999.821,440262.472
UNICEF Regions: North America,346251.161,354464.254,361942.247
UNICEF Regions: South Asia,1661532.158,1727642.534,1792567.192
UNICEF Regions: Sub-Saharan Africa,894960.199,970952.686,1052242.47
UNICEF Regions: West and Central Africa,427230.392,464851.888,505381.789
UNICEF Regions: Western Europe,485878.364,490170.84,494352.573
United Arab Emirates,8946.778,9214.182,9487.206
United Kingdom,64021.922,65423.048,66727.463
United Kingdom (and dependencies),64512.728,65921.201,67235.226
United Nations Economic and Social Commission for Asia and the Pacific (UN-ESCAP) Regions,4264919.904,4390932.015,4513100.379
United Nations Economic Commission for Africa (UN-ECA),1064864.504,1150822.279,1242534.551
United Nations Economic Commission for Latin America and the Caribbean (UN-ECLAC),597991.838,617593.694,636230.058
United Nations Member States,7036556.074,7290346.356,7542558.252
UNITED NATIONS Regional Groups of Member States,7036556.206,7290346.331,7542558.29
United Republic of Tanzania,45673.52,49960.563,54660.345
United States of America,311584.051,318673.422,325084.758
United States of America (and dependencies),315519.165,322504.295,328629.63
United States Virgin Islands,105.794,105.107,104.745
Upper-middle-income countries,2485922.683,2546751.062,2604262.468
Uruguay,3368.926,3400.439,3436.645
Uzbekistan,28977.006,30426.394,31959.774
Vanuatu,242.658,263.888,285.499
Venezuela (Bolivarian Republic of),28887.873,30042.973,29402.48
Viet Nam,88871.384,91713.85,94600.643
Wallis and Futuna Islands,12.463,12.338,11.894
WB region: East Asia and Pacific (excluding high income),2012412.906,2058790.162,2102788.241
WB region: Europe and Central Asia (excluding high income),402188.284,409519.496,416841.762
WB region: Latin America and Caribbean (excluding high income),525047.045,542623.286,559230.148
WB region: Middle East and North Africa (excluding high income),339079.728,357885.074,376880.885
WB region: South Asia (excluding high income),1661532.158,1727642.534,1792567.192
WB region: Sub-Saharan Africa (excluding high income),892957.092,968863.41,1050066.851
West African Economic and Monetary Union (UEMOA),100393.508,109700.105,119866.696
Western Africa,315538.371,342336.091,371159.563
Western Asia,237735.79,252888.008,266703.749
Western Europe,188782.034,191207.921,193885.827
Western European and Others Group (WEOG),873262.91,891491.56,908646.677
Western Sahara,487.654,514.984,552.617
WHO Regions,6998172.219,7251601.206,7503626.777
WHO: African region (AFRO),881984.431,956480.084,1036149.88
WHO: Americas (AMRO),938917.18,966820.398,993197.483
WHO: Eastern Mediterranean Region (EMRO),606399.736,646254.05,685878.583
WHO: European Region (EURO),899502.454,911432.78,923248.103
WHO: South-East Asia region (SEARO),1837486.104,1901046.484,1962281.254
WHO: Western Pacific region (WPRO),1833882.314,1869567.41,1902871.474
World,7041194.168,7295290.759,7547858.9
World Bank Regional Groups (developing only),5833217.213,6065323.962,6298375.079
Yemen,23807.586,25823.488,27834.811
Zambia,14023.199,15399.793,16853.608
Zimbabwe,12894.323,13586.71,14236.599
